Geneid	SRR15852399_SRR15852399	SRR15852394_SRR15852394	SRR15852395_SRR15852395	SRR15852400_SRR15852400	SRR15852407_SRR15852407	SRR15852409_SRR15852409	SRR15852426_SRR15852426	SRR15852427_SRR15852427	SRR15852429_SRR15852429	SRR15852432_SRR15852432	SRR15852435_SRR15852435	SRR15852438_SRR15852438
A1BG	36	49	0	66	23	36	83	63	36	33	95	77
A1BG-AS1	10	15	0	8	8	19	28	12	9	11	27	20
A1CF	0	0	0	3	7	8	2	0	1	2	0	3
A2M	2506	128	6	3520	975	5213	3922	1429	1086	3192	2026	4835
A2M-AS1	20	2	0	21	23	18	17	9	12	20	20	32
A2ML1	4	4	0	102	491	24	18	416	539	224	293	11
A2MP1	7	0	0	5	2	3	2	11	7	1	4	4
A3GALT2	6	0	0	23	43	7	8	0	9	3	7	4
A4GALT	57	34	0	112	213	84	132	127	302	197	260	169
A4GNT	0	0	0	2	4	2	1	2	1	7	0	2
AA06	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	122	126	0	121	142	100	199	181	109	192	223	230
AACS	1127	583	0	114	162	150	393	583	341	212	829	285
AACSP1	2	0	0	0	4	5	0	5	1	0	6	0
AADAC	0	0	0	12	4	3	26	15	13	3	7	5
AADACL2	0	0	0	1	0	4	9	14	2	4	4	8
AADACL2-AS1	4	0	0	20	1	4	56	5	11	5	11	22
AADACL3	0	0	0	0	1	0	0	543	522	0	1044	0
AADACL4	0	0	0	0	0	0	1	0	0	0	1	0
AADACP1	1	0	0	2	0	0	9	0	0	0	2	3
AADAT	70	2	0	10	30	23	41	10	10	19	13	9
AAGAB	130	20	0	42	134	78	87	57	47	99	120	92
AAK1	647	223	3	424	508	476	529	347	376	494	368	533
AAMDC	23	24	1	44	32	55	85	28	28	55	70	67
AAMP	360	190	2	495	236	277	286	323	284	279	466	391
AANAT	8	1	0	10	28	11	10	10	8	5	8	10
AAR2	147	45	0	62	86	159	105	86	103	133	107	122
AARD	0	2	0	203	6	78	24	12	9	5	20	17
AARS1	331	158	3	263	510	729	419	196	232	412	299	446
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	119	72	0	172	167	292	239	259	305	272	423	293
AARSD1	0	2	0	0	0	0	1	0	0	0	1	0
AARSD1P1	7	1	0	5	0	5	15	4	16	12	13	26
AASDH	35	8	0	15	28	42	107	24	23	36	54	57
AASDHPPT	43	9	0	17	29	44	73	22	34	57	26	31
AASS	56	2	0	56	87	95	301	119	105	174	152	328
AATBC	55	65	0	75	126	96	85	680	571	107	821	120
AATF	0	0	0	0	0	0	0	0	0	0	3	0
AATK	60	26	0	51	115	87	80	282	527	155	273	110
ABALON	15	7	1	3	24	10	16	8	5	4	15	17
ABAT	259	37	0	150	37	82	147	98	108	82	124	209
ABCA1	697	69	1	340	611	883	1058	499	582	403	468	1218
ABCA10	27	2	0	47	9	104	556	110	124	160	199	565
ABCA11P	11	3	0	13	8	24	26	24	19	21	39	46
ABCA12	672	46	0	4	27	25	88	240	328	292	187	48
ABCA13	1	1	0	9	3	214	9	31	3	4	11	17
ABCA17P	70	27	0	4	20	18	14	2	7	10	11	5
ABCA2	1045	433	2	1086	817	1121	930	936	999	849	1525	1258
ABCA3	488	790	2	187	303	460	338	286	232	210	435	273
ABCA3P1	0	0	0	0	3	0	1	0	0	0	0	0
ABCA4	5	1	0	2	37	17	39	20	26	4	48	23
ABCA5	68	20	0	40	89	259	524	127	70	147	175	235
ABCA6	52	4	0	83	52	152	911	198	138	222	164	998
ABCA7	363	473	7	538	820	306	212	483	489	272	583	579
