baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
45.54786937,5.05547623,0.608777316,8.304311108,1.00E-16,2.17E-12,SOX11
57.46889249,5.42472444,0.729133892,7.439956501,1.01E-13,3.64E-10,CXCL9
203.4213517,2.885219868,0.391203493,7.375240557,1.64E-13,4.67E-10,CELSR3
61.58462147,3.517277424,0.477340907,7.368481043,1.73E-13,4.67E-10,MYBL2
67.10748988,3.703683953,0.513657262,7.210418752,5.58E-13,1.01E-09,TUBB3
129.2487694,3.092979379,0.44169294,7.002555618,2.51E-12,3.40E-09,TK1
135.0304918,3.310306676,0.506514338,6.535464896,6.34E-11,5.49E-08,EPCAM
34.12212532,3.301853798,0.507569328,6.5052272,7.76E-11,5.86E-08,BIRC5
27.15778294,7.664585758,1.178522634,6.503554144,7.84E-11,5.86E-08,MNX1
165.6660428,2.601041794,0.400832782,6.489094475,8.64E-11,6.23E-08,IFI30
53.10009712,3.67198497,0.567475343,6.470739238,9.75E-11,6.81E-08,KIF26B
44.29453942,2.65937266,0.411659312,6.460129975,1.05E-10,7.08E-08,PLK1
53.45579921,3.84557724,0.600803542,6.400723313,1.55E-10,9.85E-08,ADM2
467.7523329,2.705232183,0.432512689,6.254688599,3.98E-10,2.16E-07,TMEM132A
105.9939528,3.201942261,0.525150124,6.097194139,1.08E-09,4.77E-07,PKMYT1
71.6453361,2.409940193,0.396744242,6.074291535,1.25E-09,5.29E-07,E2F1
197.979808,2.424177195,0.401549266,6.03706045,1.57E-09,6.18E-07,TONSL
37.42101967,3.320918531,0.553979094,5.994664001,2.04E-09,7.75E-07,GTSE1
76.91352424,2.58453915,0.434526197,5.947947836,2.72E-09,9.33E-07,SBK1
21.80357739,2.425189989,0.409799337,5.917993925,3.26E-09,1.09E-06,CCNB1
57.24418315,-3.052745595,0.390363556,-7.820262792,5.27E-15,4.49E-11,DIO3OS
550.4004466,-2.790017258,0.357720286,-7.799438174,6.22E-15,4.49E-11,SORBS1
67.14055139,-6.073760237,0.78495267,-7.73774072,1.01E-14,5.48E-11,CERS3
79.29068036,-5.227867135,0.695009868,-7.522004181,5.39E-14,2.34E-10,CYP4F22
67.78607149,-4.130884105,0.564028951,-7.323886647,2.41E-13,5.80E-10,PHYHIP
900.8120823,-3.999599514,0.551928655,-7.246587899,4.27E-13,9.26E-10,SYNPO2
62.16418419,-5.830992114,0.806147167,-7.233160829,4.72E-13,9.29E-10,CIDEA
1376.479212,-8.178946207,1.149841453,-7.113107797,1.13E-12,1.88E-09,DES
30.7896472,-5.363864893,0.755113492,-7.103389029,1.22E-12,1.88E-09,LOC124901453
55.61161699,-3.631232561,0.514939799,-7.051761324,1.77E-12,2.55E-09,SLC22A3
102.3155245,-3.17629655,0.456011799,-6.965382379,3.28E-12,4.17E-09,COL4A6
169.0583292,-3.200015557,0.460377082,-6.950857644,3.63E-12,4.37E-09,HSPB6
51.8960778,-4.776456786,0.709519515,-6.731959711,1.67E-11,1.82E-08,MASP1
58.07807039,-6.112875667,0.908081315,-6.731639081,1.68E-11,1.82E-08,MYOCD
39.08810394,-3.368117751,0.502759101,-6.699267595,2.09E-11,2.16E-08,TP53AIP1
198.0870122,-3.111730344,0.467225791,-6.660014069,2.74E-11,2.70E-08,CA12
52.43424612,-4.017552107,0.604850488,-6.64222347,3.09E-11,2.91E-08,CYP4F12
63.38071289,-3.305536102,0.501024744,-6.597550596,4.18E-11,3.77E-08,MAOA
174.059449,-2.663280394,0.408966502,-6.512221377,7.40E-11,5.86E-08,C14orf132
389.2709074,-4.462259783,0.68572577,-6.507353198,7.65E-11,5.86E-08,DMKN
