"database","mature_mirna_id","target_symbol","experiment","support_type"
"tarbase","hsa-let-7b-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-let-7e-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-let-7f-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-let-7g-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-1-3p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-103a-3p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-106a-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-106b-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-107","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-124-3p","ABCA10","HITS-CLIP","negative"
"mirtarbase","hsa-miR-1281","ABCA10","PAR-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-1281","ABCA10","PAR-CLIP",""
"tarbase","hsa-miR-17-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-18a-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-18b-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-194-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-19a-3p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-19b-3p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-20a-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-20b-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-28-3p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-29b-3p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-374a-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-423-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-486-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-656-5p","ABCA10","HITS-CLIP","negative"
"mirtarbase","hsa-miR-6785-3p","ABCA10","PAR-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-6785-3p","ABCA10","PAR-CLIP",""
"tarbase","hsa-miR-93-5p","ABCA10","HITS-CLIP","negative"
"tarbase","hsa-miR-103a-3p","ABCA6","HITS-CLIP","negative"
"tarbase","hsa-miR-106a-5p","ABCA6","HITS-CLIP","negative"
"tarbase","hsa-miR-107","ABCA6","HITS-CLIP","negative"
"mirtarbase","hsa-miR-122-5p","ABCA6","HITS-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-122-5p","ABCA6","HITS-CLIP",""
"mirtarbase","hsa-miR-1279","ABCA6","PAR-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-1279","ABCA6","PAR-CLIP",""
"tarbase","hsa-miR-142-5p","ABCA6","PAR-CLIP","negative"
"tarbase","hsa-miR-15a-5p","ABCA6","HITS-CLIP","negative"
"tarbase","hsa-miR-17-5p","ABCA6","HITS-CLIP","negative"
"tarbase","hsa-miR-181a-5p","ABCA6","HITS-CLIP","negative"
"tarbase","hsa-miR-181b-5p","ABCA6","HITS-CLIP","negative"
"tarbase","hsa-miR-18a-5p","ABCA6","HITS-CLIP","negative"
"tarbase","hsa-miR-18b-5p","ABCA6","HITS-CLIP","negative"
"mirtarbase","hsa-miR-197-3p","ABCA6","PAR-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-197-3p","ABCA6","PAR-CLIP",""
"tarbase","hsa-miR-20b-5p","ABCA6","HITS-CLIP","negative"
"tarbase","hsa-miR-210-3p","ABCA6","Microarrays","negative"
"mirtarbase","hsa-miR-215-3p","ABCA6","HITS-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-215-3p","ABCA6","HITS-CLIP",""
"mirtarbase","hsa-miR-26b-5p","ABCA6","Microarray","Functional MTI (Weak)"
"mirtarbase","hsa-miR-26b-5p","ABCA6","Microarray",""
"tarbase","hsa-miR-26b-5p","ABCA6","Microarrays","negative"
"tarbase","hsa-miR-30e-3p","ABCA6","PAR-CLIP","negative"
"mirtarbase","hsa-miR-3135b","ABCA6","HITS-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-3135b","ABCA6","HITS-CLIP",""
"mirtarbase","hsa-miR-3157-5p","ABCA6","PAR-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-3157-5p","ABCA6","PAR-CLIP",""
"mirtarbase","hsa-miR-3187-3p","ABCA6","PAR-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-3187-3p","ABCA6","PAR-CLIP",""
"mirtarbase","hsa-miR-3652","ABCA6","HITS-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-3652","ABCA6","HITS-CLIP",""
"mirtarbase","hsa-miR-3664-5p","ABCA6","HITS-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-3664-5p","ABCA6","HITS-CLIP",""
"mirtarbase","hsa-miR-4430","ABCA6","HITS-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-4430","ABCA6","HITS-CLIP",""
"mirtarbase","hsa-miR-4435","ABCA6","PAR-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-4435","ABCA6","PAR-CLIP",""
"mirtarbase","hsa-miR-4534","ABCA6","PAR-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-4534","ABCA6","PAR-CLIP",""
"mirtarbase","hsa-miR-4653-3p","ABCA6","PAR-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-4653-3p","ABCA6","PAR-CLIP",""
"mirtarbase","hsa-miR-4701-5p","ABCA6","PAR-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-4701-5p","ABCA6","PAR-CLIP",""
"mirtarbase","hsa-miR-4717-3p","ABCA6","HITS-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-4717-3p","ABCA6","HITS-CLIP",""
"mirtarbase","hsa-miR-500b-3p","ABCA6","HITS-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-500b-3p","ABCA6","HITS-CLIP",""
"mirtarbase","hsa-miR-504-3p","ABCA6","HITS-CLIP","Functional MTI (Weak)"
"mirtarbase","hsa-miR-504-3p","ABCA6","HITS-CLIP",""
"mirtarbase","hsa-miR-5096","ABCA6","PAR-CLIP","Functional MTI (Weak)"
