"SYMBOL","log2FoldChange","padj","has_FOXA1","n_miRNAs","top_miRNA","direction"
"SORBS1",-2.79001725808749,4.48881205796212e-11,TRUE,144,"hsa-let-7a-5p","Downregulated"
"CYP4F22",-5.22786713509238,2.33637309811701e-10,TRUE,17,"hsa-let-7a-5p","Downregulated"
"MYBL2",3.5172774242309,4.67182363385462e-10,TRUE,177,"hsa-let-7a-5p","Upregulated"
"PHYHIP",-4.13088410471037,5.79635315764053e-10,TRUE,84,"hsa-let-7a-5p","Downregulated"
"SYNPO2",-3.99959951354047,9.25581439172239e-10,TRUE,102,"hsa-let-7a-5p","Downregulated"
"CIDEA",-5.8309921138023,9.29003050086278e-10,TRUE,11,"hsa-let-7a-3p","Downregulated"
"TUBB3",3.70368395318139,1.00664435434397e-09,TRUE,44,"hsa-let-7a-5p","Upregulated"
"TK1",3.09297937932174,3.40181999016862e-09,TRUE,142,"hsa-let-7a-5p","Upregulated"
"COL4A6",-3.1762965503245,4.17212976934303e-09,TRUE,20,"hsa-let-7b-5p","Downregulated"
"HSPB6",-3.20001555696069,4.36816081927459e-09,TRUE,51,"hsa-let-7a-5p","Downregulated"
"MYOCD",-6.11287566722677,1.81653087896766e-08,TRUE,117,"hsa-let-7a-5p","Downregulated"
"MASP1",-4.77645678598499,1.81653087896766e-08,TRUE,26,"hsa-let-7a-5p","Downregulated"
"TP53AIP1",-3.36811775050957,2.16010051487083e-08,TRUE,1,"hsa-miR-335-5p","Downregulated"
"CYP4F12",-4.01755210738451,2.90930477121218e-08,TRUE,8,"hsa-let-7b-5p","Downregulated"
"MAOA",-3.30553610165568,3.77180800681986e-08,TRUE,62,"hsa-let-7a-5p","Downregulated"
"EPCAM",3.31030667645661,5.49302316155876e-08,TRUE,81,"hsa-let-7a-5p","Upregulated"
"DMKN",-4.4622597825836,5.85788594018225e-08,TRUE,78,"hsa-let-7a-5p","Downregulated"
"C14orf132",-2.66328039444384,5.85788594018225e-08,TRUE,67,"hsa-let-7a-5p","Downregulated"
"KIF26B",3.67198497044368,6.81288051032409e-08,TRUE,76,"hsa-let-7a-5p","Upregulated"
"PLK1",2.65937266013301,7.07969087060581e-08,TRUE,189,"hsa-let-7a-5p","Upregulated"
"SCN7A",-4.07871693800812,1.33451761000441e-07,TRUE,12,"hsa-miR-210-5p","Downregulated"
"FHL1",-3.47264035404067,1.78156236374123e-07,TRUE,140,"hsa-let-7a-5p","Downregulated"
"ATP1A2",-3.09219044472596,1.97149948905568e-07,TRUE,166,"hsa-let-7a-5p","Downregulated"
"ITGA8",-3.97662609528125,2.06219043011178e-07,TRUE,41,"hsa-let-7g-5p","Downregulated"
"ADAM33",-3.08923676589586,2.24047301362472e-07,TRUE,20,"hsa-let-7g-3p","Downregulated"
"DSC1",-6.96555514831171,2.24843782410153e-07,TRUE,19,"hsa-let-7a-5p","Downregulated"
"TWIST2",-3.07554633874927,2.31502353677759e-07,TRUE,10,"hsa-let-7b-5p","Downregulated"
"GFRA1",-3.25160640600271,3.37737661540085e-07,TRUE,151,"hsa-let-7a-3p","Downregulated"
"ITGA7",-2.2499815374583,3.46304580779749e-07,TRUE,79,"hsa-let-7a-5p","Downregulated"
"PKMYT1",3.20194226120647,4.77078993304234e-07,TRUE,109,"hsa-let-7b-5p","Upregulated"
"HMCN2",-4.2839715096269,5.17159617232125e-07,TRUE,10,"hsa-miR-146a-5p","Downregulated"
"E2F1",2.40994019281051,5.28815315346997e-07,TRUE,155,"hsa-let-7a-5p","Upregulated"
"CADM3",-3.22578413497267,5.39115279106547e-07,TRUE,92,"hsa-let-7a-5p","Downregulated"
"TNS4",-2.58821483269738,5.65800567499403e-07,TRUE,74,"hsa-let-7a-5p","Downregulated"
"THSD4",-2.51687242958167,6.11926569477263e-07,TRUE,151,"hsa-let-7a-5p","Downregulated"
"TONSL",2.42417719469035,6.17971448128271e-07,TRUE,119,"hsa-let-7a-5p","Upregulated"
"GREB1",-2.75134560457871,6.41867060948888e-07,TRUE,201,"hsa-let-7a-5p","Downregulated"
"GTSE1",3.32091853145123,7.74701965830963e-07,TRUE,77,"hsa-let-7b-5p","Upregulated"
"ABLIM1",-1.8196547662047,8.16421360116315e-07,TRUE,165,"hsa-let-7a-5p","Downregulated"
"IQCN",-2.12330865291838,8.5607049540243e-07,TRUE,21,"hsa-let-7b-5p","Downregulated"
"SBK1",2.58453915038615,9.33356721650754e-07,TRUE,156,"hsa-let-7d-5p","Upregulated"
"DAAM2",-1.8581444751837,9.35806731089073e-07,TRUE,104,"hsa-let-7a-5p","Downregulated"
"MYOC",-5.08288873127045,1.81545077199436e-06,TRUE,11,"hsa-let-7a-5p","Downregulated"
"CHPF",1.83305838670844,2.1841916396127e-06,TRUE,124,"hsa-let-7a-5p","Upregulated"
