"SYMBOL","log2FoldChange","padj","direction","Task2_DEG","Task4_miRNA","Task5_FOXA1","Task6_GWAS"
"SORBS1",-2.79001725808749,4.48881205796212e-11,"Downregulated","Yes","Yes (144 miRNAs, top: hsa-let-7a-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"CYP4F22",-5.22786713509238,2.33637309811701e-10,"Downregulated","Yes","Yes (17 miRNAs, top: hsa-let-7a-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"MYBL2",3.5172774242309,4.67182363385462e-10,"Upregulated","Yes","Yes (177 miRNAs, top: hsa-let-7a-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"PHYHIP",-4.13088410471037,5.79635315764053e-10,"Downregulated","Yes","Yes (84 miRNAs, top: hsa-let-7a-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"SYNPO2",-3.99959951354047,9.25581439172239e-10,"Downregulated","Yes","Yes (102 miRNAs, top: hsa-let-7a-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"CIDEA",-5.8309921138023,9.29003050086278e-10,"Downregulated","Yes","Yes (11 miRNAs, top: hsa-let-7a-3p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"TUBB3",3.70368395318139,1.00664435434397e-09,"Upregulated","Yes","Yes (44 miRNAs, top: hsa-let-7a-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"TK1",3.09297937932174,3.40181999016862e-09,"Upregulated","Yes","Yes (142 miRNAs, top: hsa-let-7a-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"COL4A6",-3.1762965503245,4.17212976934303e-09,"Downregulated","Yes","Yes (20 miRNAs, top: hsa-let-7b-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"HSPB6",-3.20001555696069,4.36816081927459e-09,"Downregulated","Yes","Yes (51 miRNAs, top: hsa-let-7a-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"MYOCD",-6.11287566722677,1.81653087896766e-08,"Downregulated","Yes","Yes (117 miRNAs, top: hsa-let-7a-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"MASP1",-4.77645678598499,1.81653087896766e-08,"Downregulated","Yes","Yes (26 miRNAs, top: hsa-let-7a-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"TP53AIP1",-3.36811775050957,2.16010051487083e-08,"Downregulated","Yes","Yes (1 miRNAs, top: hsa-miR-335-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"CYP4F12",-4.01755210738451,2.90930477121218e-08,"Downregulated","Yes","Yes (8 miRNAs, top: hsa-let-7b-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"MAOA",-3.30553610165568,3.77180800681986e-08,"Downregulated","Yes","Yes (62 miRNAs, top: hsa-let-7a-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"EPCAM",3.31030667645661,5.49302316155876e-08,"Upregulated","Yes","Yes (81 miRNAs, top: hsa-let-7a-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
"DMKN",-4.4622597825836,5.85788594018225e-08,"Downregulated","Yes","Yes (78 miRNAs, top: hsa-let-7a-5p)","Yes (ChIP-seq bound)","Breast cancer GWAS (GCST004988)"
