"SYMBOL","annotation","distanceToTSS"
"ISG15","Promoter (<=1kb)",0
"FTH1","3' UTR",3451
"DOK3","Promoter (<=1kb)",-278
"TOP2A","Exon (ENST00000423485.6/7153, exon 20 of 35)",-3431
"FIBCD1","Intron (ENST00000448616.5/84929, intron 5 of 7)",8164
"FIBCD1","Intron (ENST00000448616.5/84929, intron 5 of 7)",10251
"CHAF1B","Promoter (<=1kb)",0
"DLG5","Intron (ENST00000372391.7/9231, intron 1 of 31)",14919
"PMEL","Promoter (<=1kb)",40
"EPHA2","Promoter (<=1kb)",-327
"LOC107985034","Intron (ENST00000581078.1/79637, intron 2 of 2)",-6389
"IFFO2","Promoter (2-3kb)",-2198
"NCAPH","Exon (ENST00000477409.1/23397, exon 10 of 10)",-4853
"IGSF9B","Promoter (2-3kb)",2594
"TACC2","Intron (ENST00000369005.6/10579, intron 2 of 22)",7939
"CITED2","Intron (ENST00000775572.1/102723690, intron 4 of 4)",5807
"RHPN1","Promoter (<=1kb)",-11
"DNAJC18","Promoter (<=1kb)",0
"SPINK5","Distal Intergenic",-19334
"LPCAT1","Intron (ENST00000475622.6/79888, intron 8 of 16)",-11100
"OR2B6","Distal Intergenic",27343
"SPOCD1","Distal Intergenic",-11073
"RELN","Intron (ENST00000343529.9/5649, intron 1 of 63)",56407
"CAST","Promoter (<=1kb)",0
"PTPRZ1","Promoter (1-2kb)",1094
"GABBR2","Intron (ENST00000259455.4/9568, intron 13 of 18)",10971
"CLEC3B","Distal Intergenic",17189
"LOC124901094","Intron (ENST00000732555.1/ENST00000732555.1, intron 1 of 1)",-6297
"HSPB6","Promoter (<=1kb)",0
"C21orf58","Promoter (2-3kb)",2102
"TEAD1","Promoter (<=1kb)",0
"ITGAX","Promoter (<=1kb)",-20
"CBX7","Promoter (<=1kb)",-97
"CPAMD8","Intron (ENST00000651564.2/27151, intron 27 of 41)",-6354
"PAX5","Intron (ENST00000358127.9/5079, intron 5 of 9)",-8274
"PSAPL1","Intron (ENST00000507866.6/57537, intron 2 of 26)",-3073
"SYNE3","Exon (ENST00000557275.5/161176, exon 15 of 17)",22817
"EGFR-AS1","Exon (ENST00000275493.7/1956, exon 20 of 28)",7540
"WNT4","Promoter (1-2kb)",1270
"STRIP2","Intron (ENST00000249344.7/57464, intron 1 of 20)",4420
"MAGI2","Intron (ENST00000354212.9/9863, intron 20 of 21)",-11703
"FOXN1","Intron (ENST00000444914.7/9058, intron 6 of 11)",-13486
"FLNC","Promoter (<=1kb)",-346
"VWC2","Intron (ENST00000340652.5/375567, intron 2 of 3)",17512
"PACSIN1","Intron (ENST00000620693.4/29993, intron 2 of 9)",11798
"SPC24","Intron (ENST00000585567.5/147841, intron 4 of 5)",13448
"STARD13","Intron (ENST00000730891.1/90627, intron 2 of 4)",9653
"MAST4","Intron (ENST00000406374.5/375449, intron 1 of 5)",-7518
"FREM1","Intron (ENST00000380880.4/158326, intron 1 of 36)",21260
"CD34","Promoter (1-2kb)",1615
"CATSPERG","Promoter (2-3kb)",-2998
"ALDH1A2","Promoter (<=1kb)",0
"DLG5","Promoter (<=1kb)",338
"CAPN11","3' UTR",7217
"TMEM45A","Promoter (<=1kb)",-29
"LMOD1","Intron (ENST00000367288.5/25802, intron 1 of 2)",4651
"DGKG","Promoter (2-3kb)",2972
"TRIP13","Intron (ENST00000512024.5/9319, intron 5 of 8)",9475
"CILP2","Promoter (<=1kb)",455
"SPN","Intron (ENST00000809314.1/ENST00000809314.1, intron 1 of 3)",-5769
"ENTPD1","Intron (ENST00000453258.6/953, intron 7 of 9)",5453
"ANTXR2","Intron (ENST00000403729.7/118429, intron 10 of 16)",45209
"TNS1","Intron (ENST00000646520.1/7145, intron 19 of 32)",4649
"C1orf21","Intron (ENST00000235307.7/81563, intron 4 of 5)",6503
"EBF1","Intron (ENST00000519890.5/1879, intron 2 of 11)",25137
"FTH1","3' UTR",3654
"OAS2","Promoter (<=1kb)",-760
"DLC1","Promoter (<=1kb)",667
"SCN4B","Exon (ENST00000845474.1/ENST00000845474.1, exon 1 of 3)",-3776
"LIMS2","Promoter (2-3kb)",2153
"USB1","Promoter (<=1kb)",0
"GAREM1","Intron (ENST00000583696.1/64762, intron 1 of 2)",25737
"NUP210","Promoter (1-2kb)",1784
"FOSL1","Promoter (<=1kb)",0
"PTGDS","Promoter (<=1kb)",-485
"LAGE3","Promoter (<=1kb)",253
"KRT13","Promoter (<=1kb)",0
"CPAMD8","Intron (ENST00000651564.2/27151, intron 29 of 41)",3407
"CWH43","Promoter (<=1kb)",0
"FIBCD1","Intron (ENST00000448616.5/84929, intron 5 of 7)",7656
"FIBCD1","Intron (ENST00000448616.5/84929, intron 3 of 7)",4192
"ADAMTS14","Intron (ENST00000373207.2/140766, intron 2 of 21)",12617
"DENND2C","Intron (ENST00000393276.7/163259, intron 6 of 17)",15165
"FIBCD1","Intron (ENST00000448616.5/84929, intron 5 of 7)",13469
"IFFO2","Promoter (<=1kb)",-80
"LINC01940","Intron (ENST00000448943.2/117581, intron 1 of 1)",35564
"TMEM45A","Downstream (<=300bp)",6693
"ETS2","Distal Intergenic",-6332
"IGSF9B","Promoter (<=1kb)",598
"CDCA5","Promoter (<=1kb)",0
"TFPI","Distal Intergenic",-11641
"PKD1L2","Intron (ENST00000533478.5/114780, intron 13 of 31)",3950
"H2AC11","Promoter (<=1kb)",0
"PRX","Promoter (<=1kb)",0
"EPHA2","Promoter (<=1kb)",250
"XRCC2","Promoter (<=1kb)",0
"PRX","Promoter (<=1kb)",-296
"MELK","Intron (ENST00000536329.5/9833, intron 8 of 15)",7921
"PPP1R12B","Promoter (<=1kb)",0
"PITX1","Distal Intergenic",11508
"MLXIPL","Exon (ENST00000345114.9/51085, exon 2 of 16)",8255
"DGKG","Intron (ENST00000265022.8/1608, intron 21 of 24)",33729
"INHBA","Exon (ENST00000662280.1/285954, exon 2 of 2)",-5503
"PPP1R12B","Intron (ENST00000608999.6/4660, intron 1 of 23)",31487
"CDC6","Distal Intergenic",-3163
"KLHDC7B","Promoter (<=1kb)",-68
"TNS2","Promoter (1-2kb)",1075
"LPCAT1","Promoter (<=1kb)",0
"SHC3","Promoter (2-3kb)",2777
"CREB5","Exon (ENST00000454851.1/ENST00000454851.1, exon 1 of 1)",6107
"MAP3K21","Distal Intergenic",49128
"PLCD1","Promoter (1-2kb)",1243
"MKI67","Intron (ENST00000837691.1/ENST00000837691.1, intron 1 of 2)",10951
"PALM","Promoter (2-3kb)",2516
"PAX5","Promoter (2-3kb)",-2583
"MCAM","Promoter (<=1kb)",70
"FANCA","Promoter (<=1kb)",-478
"LY6D","Intron (ENST00000510610.2/ENST00000510610.2, intron 2 of 2)",-16770
"NLGN1","Intron (ENST00000423427.1/22871, intron 1 of 1)",13284
"EGFR","Intron (ENST00000344576.7/1956, intron 1 of 15)",31228
"DKK2","Promoter (1-2kb)",1291
"MAP3K21","Promoter (<=1kb)",972
"LSR","Promoter (<=1kb)",379
"PAMR1","Intron (ENST00000844059.1/128385377, intron 1 of 1)",-25764
"GPRASP1","Promoter (<=1kb)",-149
"GABBR2","Exon (ENST00000259455.4/9568, exon 14 of 19)",-4404
"IL16","Intron (ENST00000560241.5/3603, intron 1 of 12)",22621
"GPRASP1","Intron (ENST00000602463.5/100528062, intron 3 of 5)",-7509
"LOC105374056","Intron (ENST00000797238.1/105374056, intron 2 of 5)",-4520
"COL8A1","Intron (ENST00000452013.5/1295, intron 2 of 3)",41038
"MAST4","Exon (ENST00000403625.7/375449, exon 24 of 29)",6820
"AHNAK","Promoter (2-3kb)",2817
"PAPPA","Distal Intergenic",-41237
"SHMT2","Promoter (<=1kb)",0
"THSD4","Intron (ENST00000796204.1/ENST00000796204.1, intron 1 of 1)",6226
"PARVA","Intron (ENST00000334956.15/55742, intron 10 of 12)",41201
"GPLD1","Promoter (<=1kb)",0
"EGFR","Intron (ENST00000344576.7/1956, intron 1 of 15)",15271
"ADCY5","Promoter (<=1kb)",794
"ALDH1A2","Distal Intergenic",53144
"E2F2","3' UTR",11562
"JMJD7","Promoter (<=1kb)",-112
"DEPDC1","Distal Intergenic",-102891
"MAST4","Intron (ENST00000406374.5/375449, intron 1 of 5)",-56929
"LONRF2","Intron (ENST00000393437.8/164832, intron 9 of 11)",18000
"ACKR1","Promoter (<=1kb)",151
"VWC2","Intron (ENST00000340652.5/375567, intron 2 of 3)",3456
"USP18","3' UTR",-3791
"C21orf58","Promoter (2-3kb)",-2869
"LOC124901453","Intron (ENST00000275300.3/6581, intron 1 of 10)",-7418
"LHFPL6","Promoter (2-3kb)",2145
"PLLP","Intron (ENST00000613167.4/51090, intron 1 of 3)",7677
"PACSIN1","Promoter (<=1kb)",142
"CACNA1B","Intron (ENST00000371372.6/774, intron 15 of 46)",-85284
"H3C10","Promoter (<=1kb)",-426
"ATF3","Promoter (<=1kb)",0
"IL1RL2","Intron (ENST00000481806.1/8808, intron 6 of 9)",-15354
"PLD1","Distal Intergenic",84438
"ZCCHC12","Promoter (<=1kb)",-13
"GABBR2","Promoter (<=1kb)",-694
"MIR99AHG","Intron (ENST00000635845.2/388815, intron 1 of 5)",-8276
"CAST","Intron (ENST00000718091.1/831, intron 5 of 11)",-7599
"BLACAT1","Distal Intergenic",-13120
"LOC105377124","Promoter (2-3kb)",-2997
"IFI6","Intron (ENST00000628586.2/ENST00000628586.2, intron 2 of 2)",-14088
"DLC1","Intron (ENST00000662638.1/ENST00000662638.1, intron 1 of 1)",-59550
"EPHA2","Promoter (1-2kb)",-1940
"PAMR1","Distal Intergenic",-24513
"ACACB","Promoter (<=1kb)",0
"SYNPO2","Intron (ENST00000610556.4/171024, intron 1 of 4)",-4623
"PLLP","Distal Intergenic",-14854
"CLSPN","Promoter (<=1kb)",-48
"CAST","Intron (ENST00000502645.3/831, intron 2 of 5)",9157
"HMCN2","Intron (ENST00000683500.2/256158, intron 26 of 97)",-36188
"EZH2","Promoter (1-2kb)",1042
"FAM78A","Exon (ENST00000840418.1/ENST00000840418.1, exon 1 of 3)",8133
"GALNT13","Intron (ENST00000392825.8/114805, intron 9 of 12)",-33070
"RRM2","Promoter (2-3kb)",-2261
"CDC6","Promoter (<=1kb)",0
"PARVA","Intron (ENST00000530755.5/55742, intron 1 of 3)",18019
"EPHB6","Promoter (<=1kb)",243
"PLLP","Distal Intergenic",-15427
"ALDH1A2","Exon (ENST00000804819.1/ENST00000804819.1, exon 3 of 3)",-3089
"PLA2G2D","Exon (ENST00000375105.8/26279, exon 3 of 4)",3732
"TRHDE-AS1","Intron (ENST00000548156.1/29953, intron 2 of 4)",3887
"LOC105377124","Intron (ENST00000770413.1/100507098, intron 7 of 8)",3133
"ITGA8","Promoter (<=1kb)",-228
"SHMT2","3' UTR",-4401
"ADA2","Intron (ENST00000399837.8/51816, intron 3 of 9)",4147
"KIF18B","Promoter (<=1kb)",0
"MAMDC2","Intron (ENST00000721035.1/ENST00000721035.1, intron 1 of 2)",-110646
"SH3RF2","Intron (ENST00000639411.1/643226, intron 2 of 3)",-28067
"ERBB4","Intron (ENST00000342788.9/2066, intron 1 of 27)",-22806
"POLD1","Promoter (2-3kb)",2949
"PCSK2","Intron (ENST00000377899.5/5126, intron 9 of 12)",-24455
"MYBL2","Intron (ENST00000396863.8/4605, intron 2 of 12)",14304
"TACC3","Distal Intergenic",15340
"LOC124901453","Intron (ENST00000275300.3/6581, intron 1 of 10)",18502
"ACAN","Promoter (1-2kb)",1688
"IL1RL2","Exon (ENST00000481806.1/8808, exon 9 of 10)",-5731
"TRPC6","Intron (ENST00000526713.1/7225, intron 1 of 1)",23950
"GLI3","Intron (ENST00000839902.1/ENST00000839902.1, intron 5 of 5)",94481
"ZNF469","Distal Intergenic",-16890
"ATP1A2","Promoter (1-2kb)",1198
"ADRA1A","Promoter (<=1kb)",0
"RAI2","Intron (ENST00000415486.7/10742, intron 1 of 2)",32250
"GABBR2","Intron (ENST00000259455.4/9568, intron 2 of 18)",5165
"TIMELESS","Promoter (<=1kb)",12
"CENPN","Promoter (<=1kb)",300
"ADAM33","3' UTR",-4868
"TERC","Promoter (<=1kb)",0
"IL22RA1","Intron (ENST00000327535.6/163702, intron 6 of 6)",-14823
"DTL","Promoter (1-2kb)",1503
"TUBB3","Promoter (<=1kb)",-219
"LOC105378781","Intron (ENST00000370982.4/55970, intron 2 of 3)",-15213
"SLC7A4","Promoter (<=1kb)",-500
"AKAP12","Intron (ENST00000402676.7/9590, intron 4 of 4)",12361
"ONECUT2","Intron (ENST00000491143.3/9480, intron 1 of 1)",17393
"LDB3","Distal Intergenic",-22089
"PM20D1","Promoter (2-3kb)",2331
"CP","Promoter (<=1kb)",0
"LAPTM5","Distal Intergenic",-11118
"HMGCR","Promoter (<=1kb)",0
"CYP4B1","Distal Intergenic",18495
"MASP1","Intron (ENST00000337774.10/5648, intron 4 of 15)",3759
"LOC105377124","Intron (ENST00000770413.1/100507098, intron 3 of 8)",-4650
"GAS7","Intron (ENST00000432992.7/8522, intron 2 of 13)",-22745
"ALDH1A2","Exon (ENST00000558073.5/8854, exon 2 of 5)",33069
"MEG3","Intron (ENST00000824814.1/ENST00000824814.1, intron 1 of 1)",9703
"LOC101927344","Distal Intergenic",17432
"TNS1","Intron (ENST00000646520.1/7145, intron 3 of 32)",14218
"HOPX","Promoter (<=1kb)",0
"GLI3","Intron (ENST00000677288.1/2737, intron 2 of 13)",23390
"CYRIB","Distal Intergenic",21690
"TACR2","Promoter (1-2kb)",1510
"DNASE2","Promoter (<=1kb)",0
"PGAP4","Intron (ENST00000424154.6/101928470, intron 1 of 2)",8203
"DMKN","Promoter (<=1kb)",48
"STARD13","Intron (ENST00000730891.1/90627, intron 2 of 4)",6054
"ZBTB16","3' UTR",4832
"COL17A1","3' UTR",4455
"TSHZ2","Intron (ENST00000371497.10/128553, intron 1 of 2)",48532
"CAV1","Promoter (<=1kb)",-49
"PRDM16","Promoter (1-2kb)",-1971
"GALNT13","Distal Intergenic",-24161
"MNX1-AS1","Intron (ENST00000818639.1/ENST00000818639.1, intron 1 of 1)",45525
"LSR","Promoter (<=1kb)",0
"MAOA","Promoter (<=1kb)",0
"DAAM2","Intron (ENST00000633794.1/23500, intron 1 of 25)",-4587
"IGF1","Intron (ENST00000337514.11/3479, intron 2 of 3)",12073
"PGAP6","Promoter (<=1kb)",-724
"RFX2","Intron (ENST00000692521.2/ENST00000692521.2, intron 1 of 1)",-17483
"CHST1","Distal Intergenic",-6123
"CREB5","Intron (ENST00000396299.6/9586, intron 1 of 9)",-48281
"PLPP1","Exon (ENST00000755034.1/ENST00000755034.1, exon 2 of 3)",-12130
"DSC3","Exon (ENST00000821339.1/ENST00000821339.1, exon 1 of 5)",330470
"IRAG1","Promoter (<=1kb)",-983
"PITX1","Intron (ENST00000504352.1/347732, intron 7 of 7)",26235
"C14orf132","Distal Intergenic",-40429
"PER2","Distal Intergenic",-4362
"FAT3","Distal Intergenic",-72273
"ADGRD1","Intron (ENST00000261654.10/283383, intron 13 of 24)",16552
"C1QB","Promoter (<=1kb)",-686
"SLC6A2","Distal Intergenic",-7869
"PDE2A","Intron (ENST00000334456.10/5138, intron 4 of 30)",-3214
"COL11A1","Promoter (1-2kb)",1558
"TNFRSF9","Promoter (1-2kb)",1981
"ADAMTS15","Promoter (1-2kb)",1501
"LINC02884","Intron (ENST00000748382.1/105378909, intron 1 of 3)",31573
"HDGF","Promoter (<=1kb)",0
"MYOF","Intron (ENST00000359263.9/26509, intron 5 of 53)",-35779
"ZNF469","Promoter (<=1kb)",843
"KIF26B","Intron (ENST00000407071.7/55083, intron 2 of 14)",-15264
"PSRC1","Promoter (<=1kb)",126
"SLC16A9","Intron (ENST00000395347.1/220963, intron 1 of 5)",-9595
"TRIM46","Promoter (1-2kb)",1226
"SPR","Promoter (<=1kb)",0
