"seqnames","start","end","annotation","distanceToTSS","SYMBOL","GENENAME"
"chr22",19648354,19648593,"Distal Intergenic",65681,"LOC124905079","uncharacterized LOC124905079"
"chr2",86624106,86624345,"Promoter (<=1kb)",-240,"RNF103","ring finger protein 103"
"chr19",42919708,42919947,"Promoter (<=1kb)",-145,"PSG6","pregnancy specific beta-1-glycoprotein 6"
"chr1",35641560,35641799,"Promoter (<=1kb)",-34,"PSMB2","proteasome 20S subunit beta 2"
"chrX",11759336,11759575,"Promoter (<=1kb)",0,"MSL3","MSL complex subunit 3"
"chr6",170584395,170584634,"Promoter (<=1kb)",0,"PDCD2","programmed cell death 2"
"chr1",27600558,27600797,"Promoter (2-3kb)",2617,"AHDC1","AT-hook DNA binding motif containing 1"
"chr9",95876133,95876372,"Promoter (<=1kb)",0,"ERCC6L2","ERCC excision repair 6 like 2"
"chr17",28842629,28842868,"Promoter (<=1kb)",0,"FAM222B","family with sequence similarity 222 member B"
"chr19",55648039,55648278,"Promoter (<=1kb)",0,"CCDC106","coiled-coil domain containing 106"
"chr1",1944233,1944472,"Exon (ENST00000493964.5/85452, exon 21 of 38)",15634,"CFAP74","cilia and flagella associated protein 74"
"chr19",49031910,49032149,"Promoter (<=1kb)",0,"CGB2","chorionic gonadotropin subunit beta 2"
"chr5",138178653,138178892,"Promoter (<=1kb)",0,"KIF20A","kinesin family member 20A"
"chr2",168798594,168798833,"Promoter (<=1kb)",443,"NOSTRIN","nitric oxide synthase trafficking"
"chr8",141417545,141417784,"Promoter (<=1kb)",-125,"PTP4A3","protein tyrosine phosphatase 4A3"
"chr8",123153740,123153979,"Distal Intergenic",-3741,"TBC1D31","TBC1 domain family member 31"
"chr22",21648938,21649177,"Promoter (2-3kb)",-2951,"LOC107985532","uncharacterized LOC107985532"
"chr1",159925707,159925946,"Promoter (<=1kb)",-200,"TAGLN2","transgelin 2"
"chr6",167041649,167041888,"3' UTR",9923,"CEP43","centrosomal protein 43"
"chr2",172000366,172000605,"Promoter (<=1kb)",411,"METAP1D","methionyl aminopeptidase type 1D, mitochondrial"
"chr9",112366819,112367058,"Distal Intergenic",-13022,"HSDL2","hydroxysteroid dehydrogenase like 2"
"chr6",2542899,2543138,"Distal Intergenic",-74006,"LINC02521","long intergenic non-protein coding RNA 2521"
"chr6",35687892,35688131,"Promoter (<=1kb)",784,"FKBP5","FKBP prolyl isomerase 5"
"chr12",116336423,116336662,"Distal Intergenic",-58730,"MED13L","mediator complex subunit 13L"
"chr1",7954374,7954613,"Promoter (<=1kb)",83,"PARK7","Parkinsonism associated deglycase"
"chr6",31158590,31158829,"Promoter (<=1kb)",1,"TCF19","transcription factor 19"
"chr1",46522334,46522573,"Distal Intergenic",12942,"TMEM275","transmembrane protein 275"
"chr2",43219685,43219924,"Promoter (2-3kb)",-2439,"LINC02580","long intergenic non-protein coding RNA 2580"
"chr12",130877210,130877449,"3' UTR",4107,"RAN","RAN, member RAS oncogene family"
"chr1",246569544,246569783,"Intron (ENST00000483271.1/163882, intron 1 of 7)",3030,"CNST","consortin, connexin sorting protein"
"chr13",80782811,80783050,"Intron (ENST00000756377.1/105370278, intron 2 of 3)",234684,"LOC105370278","uncharacterized LOC105370278"
"chr18",3251078,3251317,"Promoter (<=1kb)",-901,"MYL12A","myosin light chain 12A"
"chr7",156638697,156638936,"Promoter (<=1kb)",121,"RNF32-DT","RNF32 divergent transcript"
"chr2",183149269,183149508,"Intron (ENST00000409798.5/129401, intron 5 of 9)",-17734,"LOC124906103","uncharacterized LOC124906103"
"chr1",1013351,1013590,"Promoter (<=1kb)",0,"ISG15","ISG15 ubiquitin like modifier"
"chr10",50418237,50418476,"Promoter (<=1kb)",2,"SGMS1","sphingomyelin synthase 1"
"chr1",23692228,23692467,"Promoter (<=1kb)",0,"RPL11","ribosomal protein L11"
"chr15",90929974,90930213,"Promoter (<=1kb)",0,"UNC45A","unc-45 myosin chaperone A"
